,Unnamed: 0,DIPLOMSECTION,DIPLOMOPTION,SCHOOL,SCHOOLSTATUS,SCHOOL_CORRECT,SCHOOL_RIGHT,OPTION
1062,1062,LIT,lp,ngemba,inconnu,ngemba,ngoma,latin philo
1063,1063,PED,pg,st joseph,inconnu,st joseph,st joseph,pedagogie
1064,1064,SC,bc,amani,inconnu,amani,amani,bio-chimie
1065,1065,TEC,ca,mwanga,inconnu,mwanga,mwanga,commmerciale et adm
1066,1066,LIT,lp,himbi,inconnu,himbi,himbi,latin philo
1067,1067,PED,pg,wima,inconnu,wima,wima,pedagogie
1068,1068,SC,bc,l amani,inconnu,l amani,amani,bio-chimie
1069,1069,SC,bc,mwajengo,inconnu,mwajengo,mwajengo,bio-chimie
1070,1070,PED,pg,gs 8 mars,inconnu,gs 8 mars,gs 8 mars,pedagogie
1071,1071,PED,pg,anuarite,inconnu,anuarite,anuarite,pedagogie
1072,1072,PED,pg,kimbilio,inconnu,kimbilio,kimbilio,pedagogie
1073,1073,Pédagogique,pédagogie générale,mwangaza,inconnu,mwangaza,mwangaza,pedagogie
1074,1074,TEC,sociale,chemchem,inconnu,chemchem,chemchem,sociale
1075,1075,LIT,lp,maendeleo,inconnu,maendeleo,maendeleo,latin philo
1076,1076,TEC,ca,arc en ciel,inconnu,arc en ciel,pain de vie,commmerciale et adm
1077,1077,PED,pg,itcb,inconnu,itcb,itcb,pedagogie
1078,1078,SC,mp,majengo,inconnu,majengo,majengo,math-physique
1079,1079,TEC,elec generale,it kasabinyole,inconnu,it kasabinyole,it kasabinyole,elec
1080,1080,PED,pg,lukanga,inconnu,lukanga,lukanga,pedagogie
1081,1081,TEC,ca,metanoia,inconnu,metanoia,metanoia,commmerciale et adm
1082,1082,PEDAGOGIEQUE,pg,bulotwa,inconnu,bulotwa,bulera,pedagogie
1083,1083,TEC,ca,bandari,inconnu,bandari,bandari,commmerciale et adm
1084,1084,LIT,lp,mwanga,inconnu,mwanga,mwanga,latin philo
1085,1085,LIT,lp,metanoia,inconnu,metanoia,metanoia,latin philo
1086,1086,LIT,lp,saint paul,inconnu,saint paul,saint paul,latin philo
1087,1087,TEC,sociale,mikeno off,inconnu,mikeno off,mikeno isl,sociale
1088,1088,Pédagogique,pédagogie générale,goma,publique,goma,ngoma,pedagogie
1089,1089,Sciences infirmières,hospitalière,itm kizito,inconnu,itm kizito,itm kizito,hospitalière
1090,1090,PED,pg,mapema,inconnu,mapema,mapema,pedagogie
1091,1091,PED,pg,bugarula,inconnu,bugarula,bugarula,pedagogie
1092,1092,Scientifique,biologie chimie,mama yetu,inconnu,mama yetu,mama yetu,bio-chimie
1093,1093,Littéraire,latin philo,kirumba,inconnu,kirumba,kirumba,latin philo
1094,1094,inconnu,inconnu,itm,inconnu,itm,itm,inconnu
1095,1095,Scientifique,biologie chimie,mama yetu,inconnu,mama yetu,mama yetu,bio-chimie
1096,1096,SC,bc,edap isp bukavu,inconnu,edap isp bukavu,edap/isp bukavu,bio-chimie
1097,1097,PED,pg,metanoia,inconnu,metanoia,metanoia,pedagogie
1098,1098,SC,bc,ibanda,inconnu,ibanda,ibanda,bio-chimie
1099,1099,PED,pg,faraja,inconnu,faraja,faraja,pedagogie
1100,1100,MEC GEN,mec gene,kyeshero,inconnu,kyeshero,kyeshero,mec gene
1101,1101,TEC,nutrition,musanga,inconnu,musanga,musanga,nutr
1102,1102,PED,pg,cirezi,inconnu,cirezi,cirezi,pedagogie
1103,1103,PED,pg,kalungu,inconnu,kalungu,kalungu,pedagogie
1104,1104,TEC,ca,mwanga,inconnu,mwanga,mwanga,commmerciale et adm
1105,1105,PED,pg,visoke,inconnu,visoke,visoke,pedagogie
1106,1106,PED,pg,kitembo,inconnu,kitembo,butembo,pedagogie
1107,1107,PED,pg,tisiesi,inconnu,tisiesi,tisiesi,pedagogie
1108,1108,PED,pg,anuarite,inconnu,anuarite,anuarite,pedagogie
1109,1109,PED,pg,mont carmel,inconnu,mont carmel,mont caemel,pedagogie
1110,1110,PED,pg,lukpfu,inconnu,lukpfu,luka,pedagogie
1111,1111,PED,pg,buramba,inconnu,buramba,buramba,pedagogie
1112,1112,PEDAGOGIEQUE,peda generale,lycee anuarite,inconnu,anuarite,anuarite,pedagogie
1113,1113,PED,pg,icl,inconnu,icl,icl,pedagogie
1114,1114,PED,pg,kyeshero,inconnu,kyeshero,kyeshero,pedagogie
1115,1115,PED,pg,mulezi wa bana,inconnu,mulezi wa bana,malikia wa bingu,pedagogie
1116,1116,PED,pg,katana,inconnu,katana,katana,pedagogie
1117,1117,PED,pg,cibanda,inconnu,cibanda,cibanda,pedagogie
1118,1118,PED,pg,kitsimba,inconnu,kitsimba,kalimba,pedagogie
1119,1119,TEC,sociale,buturande,inconnu,buturande,bulera,sociale
1120,1120,PED,pg,musheberi,inconnu,musheberi,muhini,pedagogie
1121,1121,PED,pg,kalimba,inconnu,kalimba,kalimba,pedagogie
1122,1122,PED,pg,nderembi,inconnu,nderembi,nderembi,pedagogie
1123,1123,TEC,sociale,busenyerwa,inconnu,busenyerwa,bulera,sociale
1124,1124,PED,pg,kimbilio,inconnu,kimbilio,kimbilio,pedagogie
1125,1125,PED,pg,auto,inconnu,auto,auto,pedagogie
1126,1126,PED,pg,lumiere,inconnu,lumiere,lumiere,pedagogie
1127,1127,TEC,ca,metanoia,inconnu,metanoia,metanoia,commmerciale et adm
1128,1128,Pédagogique,pédagogie générale,zawadi ya raiya,inconnu,zawadi ya raiya,zawadi ya raisi,pedagogie
1129,1129,PED,pg,faraja,inconnu,faraja,faraja,pedagogie
1130,1130,PED,pg,mapatano,inconnu,mapatano,mawato,pedagogie
1131,1131,TEC,sociale,mikeno isl,inconnu,mikeno isl,mikeno isl,sociale
1132,1132,TEC,sociale,mont carmel,inconnu,mont carmel,mont caemel,sociale
1133,1133,SC,bc,st paul,inconnu,st paul,saint paul,bio-chimie
1134,1134,TEC,secretariat,itfm,inconnu,itfm,itfm/bukavu,secretariat
1135,1135,TEC,ca,mbanzalemba,inconnu,mbanzalemba,kalimba,commmerciale et adm
1136,1136,TEC,ca,maranatha,inconnu,maranatha,maranatha,commmerciale et adm
1137,1137,TECHNIQUE,com informatique,lycee umoja,inconnu,umoja,ngoma,commerciale informatique
1138,1138,PED,pg,metanoia,inconnu,metanoia,metanoia,pedagogie
1139,1139,TEC,ca,metanoia,inconnu,metanoia,metanoia,commmerciale et adm
1140,1140,SC,math physique,institut kifungo,inconnu,kifungo,kifungo,math-physique
1141,1141,TECHNIQUE,com et adm,institut mwanga,inconnu,mwanga,mwanga,commmerciale et adm
1142,1142,SC,bc,veronique,inconnu,veronique,veronique,bio-chimie
1143,1143,TEC,ca,himbi,inconnu,himbi,himbi,commmerciale et adm
1144,1144,TEC,ca,metanoia,inconnu,metanoia,metanoia,commmerciale et adm
1145,1145,TEC,elec gnl,itig,inconnu,itig,itig,elec
1146,1146,SC,bc,icl,inconnu,icl,icl,bio-chimie
1147,1147,TEC,ca,mwanga,inconnu,mwanga,mwanga,commmerciale et adm
1148,1148,TEC,ca,faraja,inconnu,faraja,faraja,commmerciale et adm
1149,1149,LIT,lp,metanoia,inconnu,metanoia,metanoia,latin philo
1150,1150,SC,bc,anuarite,inconnu,anuarite,anuarite,bio-chimie
1151,1151,TEC,sociale,mont carmel,inconnu,mont carmel,mont caemel,sociale
1152,1152,PED,pg,gracia,inconnu,gracia,gracia,pedagogie
1153,1153,TECHNIQUE,sociale,institut uzima,inconnu,uzima,uzima,sociale
1154,1154,PED,pg,kalungu,inconnu,kalungu,kalungu,pedagogie
1155,1155,PEDAGOGIEQUE,peda generale,bikuka,inconnu,bikuka,bikuka,pedagogie
1156,1156,MECANIQUE GENERALE,inconnu,institut maranatha,inconnu,maranatha,maranatha,inconnu
1157,1157,PED,pg,lycee anuarite,inconnu,anuarite,anuarite,pedagogie
1158,1158,SCIENTIFIQUE,bio chimie,institut tuadibishe,inconnu,tuadibishe,maadibisho,bio-chimie
1159,1159,TEC,ca,metanoia,inconnu,metanoia,metanoia,commmerciale et adm
1160,1160,TEC,ca,st joseph,inconnu,st joseph,st joseph,commmerciale et adm
1161,1161,TEC,ca,st joseph,inconnu,st joseph,st joseph,commmerciale et adm
1162,1162,TEC,sociale,mont carmel,inconnu,mont carmel,mont caemel,sociale
1163,1163,PED,pg,kimbilio,inconnu,kimbilio,kimbilio,pedagogie
1164,1164,TEC,ca,bakanja,inconnu,bakanja,bakadja,commmerciale et adm
1165,1165,PEDAGOGIEQUE,peda generale,institut faraja,inconnu,faraja,faraja,pedagogie
1166,1166,PEDAGOGIEQUE,peda generale,institut bwinzi,inconnu,bwinzi,institut bwinzi,pedagogie
1167,1167,TEC,com informatique,kimbilio,inconnu,kimbilio,kimbilio,commerciale informatique
1168,1168,TEC,coupe couture,lycee chemchem,inconnu,chemchem,chemchem,coupe couture
1169,1169,SC,bc,tupendane,inconnu,tupendane,tupendane,bio-chimie
1170,1170,SC,bc,malkia wa mbingu,inconnu,malkia wa mbingu,malikia wa bingu,bio-chimie
1171,1171,TEC,ca,metanoia,inconnu,metanoia,metanoia,commmerciale et adm
1172,1172,TEC,ca,himbi,inconnu,himbi,himbi,commmerciale et adm
1173,1173,SC,bc,la fontaine,inconnu,la fontaine,la fontaine,bio-chimie
1174,1174,TEC,ca,tuungane,inconnu,tuungane,tuungane,commmerciale et adm
1175,1175,TEC,ca,institut  himbi,inconnu,himbi,himbi,commmerciale et adm
1176,1176,SC,bc,isidore bakanja,inconnu,isidore bakanja,bakadja,bio-chimie
1177,1177,SCIENTIFIQUE,math physique,college mayele,inconnu,mayele,mayele,math-physique
1178,1178,LIT,lp,wima,inconnu,wima,wima,latin philo
1179,1179,Scientifique,biologie chimie,majengo,inconnu,majengo,majengo,bio-chimie
1180,1180,PEDAGOGIEQUE,peda generale,institut kiluku,inconnu,kiluku,kalungu,pedagogie
1181,1181,TEC,sociale,uzima,inconnu,uzima,uzima,sociale
1182,1182,LIT,lp,aigles de dieu,inconnu,aigles de dieu,aigle de dieu,latin philo
1183,1183,SC,bc,isidore bakanja,inconnu,isidore bakanja,bakadja,bio-chimie
1184,1184,TEC,ca,bungulu,inconnu,bungulu,uhuru,commmerciale et adm
1185,1185,TEC,ca,majengo,inconnu,majengo,majengo,commmerciale et adm
1186,1186,TEC,ca,uzima,inconnu,uzima,uzima,commmerciale et adm
1187,1187,TECHNIQUE,com et adm,institut metanoia,inconnu,metanoia,metanoia,commmerciale et adm
1188,1188,TEC,ca,metanoia,inconnu,metanoia,metanoia,commmerciale et adm
1189,1189,SC,bc,tuadibishe,inconnu,tuadibishe,maadibisho,bio-chimie
1190,1190,Technique,commerciale administrative,metanoia,inconnu,metanoia,metanoia,commmerciale et adm
1191,1191,PED,inconnu,mont sinai,inconnu,mont sinai,mont sinai,inconnu
1192,1192,SC,bc,kyeshero,inconnu,kyeshero,kyeshero,bio-chimie
1193,1193,TEC,ca,maendeleo,inconnu,maendeleo,maendeleo,commmerciale et adm
1194,1194,LIT,lp,metanoia,inconnu,metanoia,metanoia,latin philo
1195,1195,PED,pg,kimbilio,inconnu,kimbilio,kimbilio,pedagogie
1196,1196,SC,bc,amani,inconnu,amani,amani,bio-chimie
1197,1197,TEC,ca,metanoia,inconnu,metanoia,metanoia,commmerciale et adm
1198,1198,PED,pg,visoke,inconnu,visoke,visoke,pedagogie
1199,1199,TEC,ca,mzizi,inconnu,mzizi,muhini,commmerciale et adm
1200,1200,TEC,ca,luvango,inconnu,luvango,luvango,commmerciale et adm
1201,1201,TEC,ca,mwanga,inconnu,mwanga,mwanga,commmerciale et adm
1202,1202,TEC,sociale,ste ursule,inconnu,ste ursule,sainte ursule,sociale
1203,1203,TEC,ca,lumiere,inconnu,lumiere,lumiere,commmerciale et adm
1204,1204,TEC,ca,metanoia,inconnu,metanoia,metanoia,commmerciale et adm
1205,1205,Technique,commerciale et administrative,ndosho,inconnu,ndosho,ndosho,commmerciale et adm
1206,1206,TEC,ca,tumaini,inconnu,tumaini,muhini,commmerciale et adm
1207,1207,TEC CA,ca,mikeno nc,inconnu,mikeno nc,mikeno nc,commmerciale et adm
1208,1208,Littéraire,latin philo,mwanga,inconnu,mwanga,mwanga,latin philo
1209,1209,SC,mp,lycee mapatano,inconnu,mapatano,mawato,math-physique
1210,1210,SC,bc,lycee amani,inconnu,amani,amani,bio-chimie
1211,1211,LIT,lp,zanner,inconnu,zanner,zanner,latin philo
1212,1212,TEC,ca,isidore bakanja,inconnu,isidore bakanja,bakadja,commmerciale et adm
1213,1213,TEC,ca,mwanga,inconnu,mwanga,mwanga,commmerciale et adm
1214,1214,TECHNIQUE,com et adm,institut lwanzururu,inconnu,lwanzururu,lwanzururu,commmerciale et adm
1215,1215,TEC,ca,mwanga,inconnu,mwanga,mwanga,commmerciale et adm
1216,1216,TEC,secretariat publ,shaloom,inconnu,shaloom,shaloom,secretariat
1217,1217,SC,bc,mwandu,inconnu,mwandu,mwandu,bio-chimie
1218,1218,TEC,ca,loyola,inconnu,loyola,loyola,commmerciale et adm
1219,1219,TEC,construction,kyeshero,inconnu,kyeshero,kyeshero,construction
1220,1220,TEC,sociale,uzima,inconnu,uzima,uzima,sociale
1221,1221,TEC,ca,nyamukola,inconnu,nyamukola,nyamukola,commmerciale et adm
1222,1222,TEC,ca,kasali,inconnu,kasali,kasali,commmerciale et adm
1223,1223,TEC,sociale,ste ursule,inconnu,ste ursule,sainte ursule,sociale
1224,1224,PED,pg,maendeleo,inconnu,maendeleo,maendeleo,pedagogie
1225,1225,TEC,ca,metanoia,inconnu,metanoia,metanoia,commmerciale et adm
1226,1226,TEC,sociale,mont carmel,inconnu,mont carmel,mont caemel,sociale
1227,1227,Technique,commerciale administrative,mwanga,inconnu,mwanga,mwanga,commmerciale et adm
1228,1228,LIT,lp,mwanga,inconnu,mwanga,mwanga,latin philo
1229,1229,TEC,ca,nuru,inconnu,nuru,uhuru,commmerciale et adm
1230,1230,PED,pg,totoro,inconnu,totoro,totoro,pedagogie
1231,1231,TEC,sociale,maendeleo,inconnu,maendeleo,maendeleo,sociale
1232,1232,PED,pg,metanoia,inconnu,metanoia,metanoia,pedagogie
1233,1233,PED,pg,kalungu,inconnu,kalungu,kalungu,pedagogie
1234,1234,TEC,ca,bakanja,inconnu,bakanja,bakadja,commmerciale et adm
1235,1235,SC,bc,nuru,inconnu,nuru,uhuru,bio-chimie
1236,1236,TEC,ca,bungulu,inconnu,bungulu,uhuru,commmerciale et adm
1237,1237,TEC,ca,katwa,inconnu,katwa,i katwa,commmerciale et adm
1238,1238,TECHNIQUE,com et adm,institut jikaze,inconnu,jikaze,jikaze,commmerciale et adm
1239,1239,SC,mp,st paul,inconnu,st paul,saint paul,math-physique
1240,1240,TEC,com informatique,mapendo,inconnu,mapendo,mapendo,commerciale informatique
1241,1241,SC,bc,amani,inconnu,amani,amani,bio-chimie
1242,1242,TEC,ca,isidore bakanja,inconnu,isidore bakanja,bakadja,commmerciale et adm
1243,1243,Pédagogique,pédagogie générale,institut de goma,inconnu,de goma,de goma,pedagogie
1244,1244,TEC,sociale,mikeno isl,inconnu,mikeno isl,mikeno isl,sociale
1245,1245,TEC,ca,isidore bakanja,inconnu,isidore bakanja,bakadja,commmerciale et adm
1246,1246,TEC,ca,maendeleo,inconnu,maendeleo,maendeleo,commmerciale et adm
1247,1247,TEC,ca,metanoia,inconnu,metanoia,metanoia,commmerciale et adm
1248,1248,TEC,sociale,ste ursule,inconnu,ste ursule,sainte ursule,sociale
1249,1249,TEC,sociale,mont carmel,inconnu,mont carmel,mont caemel,sociale
1250,1250,TEC,ca,mikeno nc,inconnu,mikeno nc,mikeno nc,commmerciale et adm
1251,1251,SC,bc,isidor bakandja,inconnu,isidor bakandja,bakadja,bio-chimie
1252,1252,TEC,sociale,ste ursule,inconnu,ste ursule,sainte ursule,sociale
1253,1253,Pédagogique,pédagogie générale,faraja,inconnu,faraja,faraja,pedagogie
1254,1254,HOTESSE D ACEUIL,inconnu,mikeno islam,inconnu,mikeno islam,mikeno isl,inconnu
1255,1255,PED,pg,sayuni,inconnu,sayuni,sayuni,pedagogie
1256,1256,TEC,ca,anuarite,inconnu,anuarite,anuarite,commmerciale et adm
1257,1257,PED,pg,auto,inconnu,auto,auto,pedagogie
1258,1258,SC,mp,essi nyamirambo,inconnu,essi nyamirambo,essi nyamirambo,math-physique
1259,1259,TEC,sociale,ste ursule,inconnu,ste ursule,sainte ursule,sociale
1260,1260,TEC,ca,metanoia,inconnu,metanoia,metanoia,commmerciale et adm
1261,1261,SC,bc,majengo,inconnu,majengo,majengo,bio-chimie
1262,1262,TEC,com informatique,mama yetu,inconnu,mama yetu,mama yetu,commerciale informatique
1263,1263,TEC,ca,metanoia,inconnu,metanoia,metanoia,commmerciale et adm
1264,1264,TEC,ca,metanoia,inconnu,metanoia,metanoia,commmerciale et adm
1265,1265,PED,pg,isidore bakanja,inconnu,isidore bakanja,bakadja,pedagogie
1266,1266,TEC,nutrition,ste ursule,inconnu,ste ursule,sainte ursule,nutr
1267,1267,LIT,lp,kaoze,inconnu,kaoze,kaoze,latin philo
1268,1268,PED,pg,gsc de kigali,inconnu,gsc de kigali,gs kigali,pedagogie
1269,1269,SCIENTIFIQUE,bio chimie,de bukavu,inconnu,de bukavu,de bukavu,bio-chimie
1270,1270,Technique,sociale,uzima,inconnu,uzima,uzima,sociale
1271,1271,PED,pg,goma,inconnu,goma,ngoma,pedagogie
1272,1272,TEC,sociale,ste ursule,inconnu,ste ursule,sainte ursule,sociale
1273,1273,PED,pg,ndahura,inconnu,ndahura,ndahura,pedagogie
1274,1274,Littéraire,latin philo,maendeleo,inconnu,maendeleo,maendeleo,latin philo
1275,1275,PED,pg,sayuni,inconnu,sayuni,sayuni,pedagogie
1276,1276,TEC,sociale,mont sinai,inconnu,mont sinai,mont sinai,sociale
1277,1277,TEC,sociale,uzima,inconnu,uzima,uzima,sociale
1278,1278,TEC,nutrition,ste ursule,inconnu,ste ursule,sainte ursule,nutr
1279,1279,TEC,sociale,kanzulnzuli,inconnu,kanzulnzuli,kanzulinzuli,sociale
1280,1280,TEC,sociale,uzima,inconnu,uzima,uzima,sociale
1281,1281,TEC,ca,stec ursule,inconnu,stec ursule,sainte ursule,commmerciale et adm
1282,1282,TEC,nutrition,kavaghendi,inconnu,kavaghendi,kashenda,nutr
1283,1283,TEC,ca,ibanda,inconnu,ibanda,ibanda,commmerciale et adm
1284,1284,PED,pg,anuarite,inconnu,anuarite,anuarite,pedagogie
1285,1285,TEC,sociale,ste ursule,inconnu,ste ursule,sainte ursule,sociale
1286,1286,SC,bc,kyeshero,inconnu,kyeshero,kyeshero,bio-chimie
1287,1287,SC,bc,icl,inconnu,icl,icl,bio-chimie
1288,1288,LIT,lp,kizito,inconnu,kizito,milima,latin philo
1289,1289,TEC,sociale,uzima,inconnu,uzima,uzima,sociale
1290,1290,PED,pg,hekima,inconnu,hekima,hekima,pedagogie
1291,1291,LIT,lp,zanner,inconnu,zanner,zanner,latin philo
1292,1292,PED,pg,uaminifu,inconnu,uaminifu,uaminifu,pedagogie
1293,1293,PED,pg,moliere,inconnu,moliere,moliere,pedagogie
1294,1294,LIT,lp,metanoia,inconnu,metanoia,metanoia,latin philo
1295,1295,LIT,lp,metanoia,inconnu,metanoia,metanoia,latin philo
1296,1296,TEC,ca,aigle de dieu,inconnu,aigle de dieu,aigle de dieu,commmerciale et adm
1297,1297,PED,pg,salama,inconnu,salama,salama,pedagogie
1298,1298,LIT,lp,mont sinai,inconnu,mont sinai,mont sinai,latin philo
1299,1299,TEC,sociale,buturande,inconnu,buturande,bulera,sociale
1300,1300,TEC,coupe couture,chemchem,inconnu,chemchem,chemchem,coupe couture
1301,1301,TEC,sociale,ndahura,inconnu,ndahura,ndahura,sociale
1302,1302,TEC,ca,mont goma,inconnu,mont goma,ngoma,commmerciale et adm
1303,1303,PED,pg,anuarite,inconnu,anuarite,anuarite,pedagogie
1304,1304,PED,pg,melita,inconnu,melita,milima,pedagogie
1305,1305,LIT,lp,mwanga,inconnu,mwanga,mwanga,latin philo
1306,1306,PED,pg,kabamba,inconnu,kabamba,kalimba,pedagogie
1307,1307,TEC,nutrition,famila dei,inconnu,famila dei,famila dei,nutr
1308,1308,SCIENTIFIQUE,inconnu,candidat libre,inconnu,candidat libre,saint andre,inconnu
1309,1309,TEC,nutrition,ste ursule,inconnu,ste ursule,sainte ursule,nutr
1310,1310,TEC,sociale,mikeno islam,inconnu,mikeno islam,mikeno isl,sociale
1311,1311,PED,pg,sagesse,inconnu,sagesse,lasagesse,pedagogie
1312,1312,TEC,sociale,maendeleo,inconnu,maendeleo,maendeleo,sociale
1313,1313,PED,pg,cirezi,inconnu,cirezi,cirezi,pedagogie
1314,1314,PED,pg,wima,inconnu,wima,wima,pedagogie
1315,1315,TEC,sociale,ndahura,inconnu,ndahura,ndahura,sociale
1316,1316,PED,pg,mont carmel,inconnu,mont carmel,mont caemel,pedagogie
1317,1317,PED,pg,isidore bakanja,inconnu,isidore bakanja,bakadja,pedagogie
1318,1318,PED,pg,azma,inconnu,azma,azma,pedagogie
1319,1319,Pédagogique,pédagogie générale,lycée kilimani,inconnu,kilimani,kilimani,pedagogie
1320,1320,SCIENTIFIQUE,biologie chimie,metanoia,inconnu,metanoia,metanoia,bio-chimie
1321,1321,Pédagogique,pédagogie générale,cs le germe,inconnu,le germe,le germe,pedagogie
1322,1322,Pédagogique,pédagogie générale,lycée anuarite,catholique,anuarite,anuarite,pedagogie
1323,1323,PEDAGOGIEQUE,peda generale,institut communautaire du lac,inconnu,communautaire du lac,communautaire du lac,pedagogie
1324,1324,Pédagogique,pédagogie générale,la vision,inconnu,la vision,la vision,pedagogie
1325,1325,PED,pg,totro,inconnu,totro,totro,pedagogie
1326,1326,Technique,nutrition,lycée sainte ursule,inconnu,sainte ursule,sainte ursule,nutr
1327,1327,SCIENTIFIQUE,biologie chimie,lycée amani,inconnu,amani,amani,bio-chimie
1328,1328,Pédagogique,pédagogie générale,icl,privé,icl,icl,pedagogie
1329,1329,Scientifique,mathématique physique,college alingbwa,inconnu,alingbwa,kalimba,math-physique
1330,1330,Scientifique,biologie chimie,metanoia,inconnu,metanoia,metanoia,bio-chimie
1331,1331,SCIENTIFIQUE,bio chimie,lycee amani,inconnu,amani,amani,bio-chimie
1332,1332,TECHNIQUE,nutrition,le petit genie,inconnu,le petit genie,les petits génies,nutr
1333,1333,Technique,sociale,uzima,inconnu,uzima,uzima,sociale
1334,1334,Scientifique,biologie chimie,lycée cirezi,inconnu,cirezi,cirezi,bio-chimie
1335,1335,Scientifique,biologie chimie,majengo,inconnu,majengo,majengo,bio-chimie
1336,1336,Pédagogique,pédagogie générale,kyeshero,protestant,kyeshero,kyeshero,pedagogie
1337,1337,PED,pg,mont goma,inconnu,mont goma,ngoma,pedagogie
1338,1338,SC,bc,katana centre,inconnu,katana centre,saint andre,bio-chimie
1339,1339,PED,pg,sainte famille,inconnu,sainte famille,sainte famille,pedagogie
1340,1340,Pédagogique,pédagogie générale,mont carmel,inconnu,mont carmel,mont caemel,pedagogie
1341,1341,Technique,coupe couture,chemchem,inconnu,chemchem,chemchem,coupe couture
1342,1342,PED,pg,metanoia,inconnu,metanoia,metanoia,pedagogie
1343,1343,LIT,lp,mwanga,inconnu,mwanga,mwanga,latin philo
1344,1344,Pédagogique,pédagogie générale,kisima,inconnu,kisima,milima,pedagogie
1345,1345,Pédagogique,pégagogie générale,iidore bakanja,catholique,iidore bakanja,bakadja,pedagogie
1346,1346,TEC,ca,cs mgr moke,inconnu,mgr moke,mgr moke,commmerciale et adm
1347,1347,LITTERAIRE,latin philo,g.s lemba,inconnu,g.s lemba,g.s lemba,latin philo
1348,1348,Pédagogique,pédagogie générale,kasika,inconnu,kasika,kasika,pedagogie
1349,1349,Scientifique,mathématique physique,bulera,inconnu,bulera,bulera,math-physique
1350,1350,Pédagogique,pédagogie générale,ntoyo,inconnu,ntoyo,ndosho,pedagogie
1351,1351,Pédagogique,pédagogie normale,lycée utamaduni,inconnu,utamaduni,utamaduni,pedagogie
1352,1352,Technique,sociale,buturande,protestant,buturande,bulera,sociale
1353,1353,Scientifique,biologie chimie,mgr kataliko,inconnu,mgr kataliko,mgr kataliko,bio-chimie
1354,1354,SC,bc,rwabika,inconnu,rwabika,rwabika,bio-chimie
1355,1355,SC,bc,nuru,inconnu,nuru,uhuru,bio-chimie
1356,1356,SC,bc,bakanja,inconnu,bakanja,bakadja,bio-chimie
1357,1357,SC,mp,alfajiri,inconnu,alfajiri,alfajiri,math-physique
1358,1358,TEC,mec generale,itig,inconnu,itig,itig,mec gene
1359,1359,SBC,inconnu,rwabika,inconnu,rwabika,rwabika,inconnu
1360,1360,SCIENTIFIQUE,math physique,institut musambi,inconnu,musambi,mukaba,math-physique
1361,1361,TEC,elec ind,itig,inconnu,itig,itig,elec indust
1362,1362,PED,pg,auto,inconnu,auto,auto,pedagogie
1363,1363,SC,bc,alfajiri,inconnu,alfajiri,alfajiri,bio-chimie
1364,1364,TEC,sociale,idap/isp bunia,inconnu,idap/isp bunia,idap isp bunia,sociale
1365,1365,Scientifique,biologie chimie,lycée amani,inconnu,amani,amani,bio-chimie
1366,1366,TEC,ca,himbi,inconnu,himbi,himbi,commmerciale et adm
1367,1367,SC,bc,bwindi,inconnu,bwindi,bwindi,bio-chimie
1368,1368,SC,mp,alfajiri,inconnu,alfajiri,alfajiri,math-physique
1369,1369,TEC,sociale,maendeleo,inconnu,maendeleo,maendeleo,sociale
1370,1370,SC,bc,gihundu,inconnu,gihundu,gihundu,bio-chimie
1371,1371,SC,bc,lycee cirezi,inconnu,cirezi,cirezi,bio-chimie
1372,1372,TEC,mec gen,itig,inconnu,itig,itig,mec gene
1373,1373,TEC,imprimerie,iti mahamba,inconnu,iti mahamba,itk mahamba,imprimerie
1374,1374,TEC,mec gene,visoke,inconnu,visoke,visoke,mec gene
1375,1375,TECHNIQUE,commerciale et adm,institut maendeleo,inconnu,maendeleo,maendeleo,commmerciale et adm
1376,1376,SC,bc,mwanga,inconnu,mwanga,mwanga,bio-chimie
1377,1377,PED,pg,auto,inconnu,auto,auto,pedagogie
1378,1378,LIT,lp,metanoia,inconnu,metanoia,metanoia,latin philo
1379,1379,LIT,lp,metanoia,inconnu,metanoia,metanoia,latin philo
1380,1380,SC,mp,mwanga/ uvira,inconnu,mwanga/ uvira,mwanga/ uvira,math-physique
1381,1381,TEC,batiment,kyeshero,inconnu,kyeshero,kyeshero,batiment
1382,1382,PED,pg,metanoia,inconnu,metanoia,metanoia,pedagogie
1383,1383,SC,mp,institut de goma,inconnu,de goma,de goma,math-physique
1384,1384,TEC,elect,itig,inconnu,itig,itig,elec
1385,1385,SC,ca,malkia wa mbingu,inconnu,malkia wa mbingu,malikia wa bingu,commmerciale et adm
1386,1386,SC,mp,bustani,inconnu,bustani,bustani,math-physique
1387,1387,PED,pg,meso,inconnu,meso,meso,pedagogie
1388,1388,TEC,mec gnl,itig,inconnu,itig,itig,mec gene
1389,1389,SC,bc,edap isp,inconnu,edap isp,edap/isp,bio-chimie
1390,1390,Scientifique,biologie chimie,isidore bakanja,inconnu,isidore bakanja,bakadja,bio-chimie
1391,1391,TEC,mec machines outils,funu maendeleo,inconnu,funu maendeleo,itfm maendeleo,mecanique machines outils
1392,1392,ELECTRICITE INDUSTR,inconnu,lyce techn de la pleine,inconnu,lyce techn de la pleine,lyce techn de la pleine,inconnu
1393,1393,PED,peda generale,kasika,inconnu,kasika,kasika,pedagogie
1394,1394,SC,bc,amani,inconnu,amani,amani,bio-chimie
1395,1395,TEC,mec gnl,itig,inconnu,itig,itig,mec gene
1396,1396,SC,bc,wima,inconnu,wima,wima,bio-chimie
